,date,x1,x2,y1,y2,emission
0,2020-08-01,-117.5,-115.0,47.5,45.0,0.0
1,2020-08-02,-117.5,-115.0,47.5,45.0,0.0
2,2020-08-03,-117.5,-115.0,47.5,45.0,1.2141953691679532
3,2020-08-04,-117.5,-115.0,47.5,45.0,1.5910149811359489
4,2020-08-05,-117.5,-115.0,47.5,45.0,0.0
5,2020-08-06,-117.5,-115.0,47.5,45.0,0.0
6,2020-08-07,-117.5,-115.0,47.5,45.0,0.0
7,2020-08-08,-117.5,-115.0,47.5,45.0,0.0
8,2020-08-09,-117.5,-115.0,47.5,45.0,0.0
9,2020-08-10,-117.5,-115.0,47.5,45.0,0.0
10,2020-08-11,-117.5,-115.0,47.5,45.0,3.490093796424432
11,2020-08-12,-117.5,-115.0,47.5,45.0,0.0
12,2020-08-13,-117.5,-115.0,47.5,45.0,0.0
13,2020-08-14,-117.5,-115.0,47.5,45.0,0.0
14,2020-08-15,-117.5,-115.0,47.5,45.0,0.0
15,2020-08-16,-117.5,-115.0,47.5,45.0,0.0
16,2020-08-17,-117.5,-115.0,47.5,45.0,1.5910149811359489
17,2020-08-18,-117.5,-115.0,47.5,45.0,1.3709612993033105
18,2020-08-19,-117.5,-115.0,47.5,45.0,1.850554359625832
19,2020-08-20,-117.5,-115.0,47.5,45.0,0.0
20,2020-08-21,-117.5,-115.0,47.5,45.0,3.2512939177845936
21,2020-08-22,-117.5,-115.0,47.5,45.0,2.8632696832480775
22,2020-08-23,-117.5,-115.0,47.5,45.0,1.8279483332445778
23,2020-08-24,-117.5,-115.0,47.5,45.0,2.2849354659255994
24,2020-08-25,-117.5,-115.0,47.5,45.0,0.3457385003566742
25,2020-08-26,-117.5,-115.0,47.5,45.0,0.0
26,2020-08-27,-117.5,-115.0,47.5,45.0,3.7685043214412772
27,2020-08-28,-117.5,-115.0,47.5,45.0,0.048254869878292084
28,2020-08-29,-117.5,-115.0,47.5,45.0,0.37050533846773703
29,2020-08-30,-117.5,-115.0,47.5,45.0,0.5557580215040048
30,2020-08-31,-117.5,-115.0,47.5,45.0,0.0
